INDEX,WKSPN,ENGINE,ACTION,DESCRIPTION,MATERIALSBaht
63,GENZ02M501,MS5001,Additional,Replace Cooling Tube,331.29
64,GENZ02M501,MS5001,Additional,Replace Forward Discourager Seal,"2,870.37"
67,GESB01M501,MS5001,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"26,968.51"
68,GESB01M501,MS5001,Option,Weld Plug Pin of old Dowel holes,"16,324.85"
69,GETP00M501,MS5001,Additional,Replace Support Lug,"4,305.72"
70,GETP00M501,MS5001,Additional,Replace Std. Floating Seals-inner,"8,302.06"
71,GETP00M501,MS5001,Additional,Replace Picture Frame -TBD,0
72,GETP00M501,MS5001,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"114,376.61"
73,GETP00M501,MS5001,Option/Coating,Apply Chrome Carbide coating to Inlet End,"8,521.78"
74,GECL00M51P,MS5001P,Additional,Replace Hula Skirt,"7,176.09"
75,GECL00M51P,MS5001P,Additional,Replace Cross Fire Collars,883.32
76,GECL00M51P,MS5001P,Additional,Replace Liner Stop,"3,775.59"
78,MWBL01MW7D,MW701D,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","489,015.78"
5,MWBL02MW7D,MW701D,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","685,201.44"
79,GECL00M51P,MS5001P,Additional,Replace End Ring,"3,863.89"
80,GECL00M51P,MS5001P,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"94,258.37"
81,GECL00M51P,MS5001P,Option/Coating,"Apply Chrome Carbide coating to Fuel Nozzle Bore (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","4,439.54"
82,GECL00M51P,MS5001P,Option/Coating,"Apply Chrome Carbide coating to Crossfire Collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","3,171.20"
83,GECL00M51P,MS5001P,Option/Coating,"Apply Chrome Carbide coating to Hula Skirt (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,707.88"
84,GECL00M51P,MS5001P,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","4,439.54"
85,GESB01M51P,MS5001P,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"26,968.51"
86,GESB01M51P,MS5001P,Option,Weld Plug Pin of old Dowel holes,"16,324.85"
87,GETP00M51P,MS5001P,Additional,Replace Support Lug,"4,305.72"
88,MWBL02MW7D,MW701D,Option,Perform material life assessment as required iaw EthosEnergy procedures,"154,008.00"
89,GECL00M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Fuel Nozzle Bore (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","3,729.39"
90,GECL00M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Crossfire Collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","4,350.90"
91,GECL00M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Hula Skirt (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","8,079.94"
92,GECL00M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,593.57"
93,GECL00M7EA,MS7001EA,Option,Apply L605 shields to Liner Stops,"1,659.52"
94,GECT00M7EA,MS7001EA,Additional,Replace Ends Tube,648.89
95,GECT00M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Tube Ends (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","13,052.35"
96,GEFN00M7EA,MS7001EA,Option,Replace Locking Ring,"5,519.99"
97,GEFN00M7EA,MS7001EA,Option/Coating,Apply Chrome Carbide coating to Swirler Plate,"30,265.65"
98,GEFN00M7EA,MS7001EA,Option,Replace Swirler Tip,"49,624.80"
99,GEFN00M7EA,MS7001EA,Option,Replace Transition Piece,"30,796.12"
100,GEFN00M7EA,MS7001EA,Option,Replace Air Cone,"28,605.79"
101,GEFN00M7EA,MS7001EA,Option,Replace Air Ring,"14,545.20"
102,GEFN00M7EA,MS7001EA,Option,Replace Transition Piece Seal,"2,566.80"
103,GEFS00M7EA,MS7001EA,Additional,Replace L605 wear strips / covers to Liner Stop,541.08
104,GEFS00M7EA,MS7001EA,Additional,Replace Liner Stop (Carbon steel),"2,603.42"
105,GEFS00M7EA,MS7001EA,Additional,Replace Stopper Pin,220.74
106,GEFS00M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,707.88"
107,GESB01M7EA,MS7001EA,Option/Coating,Apply TBC Abradable coating to Seal Face Surface,"150,257.05"
108,GESB01M7EA,MS7001EA,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"33,663.07"
109,GESB01M7EA,MS7001EA,Option,Weld Plug Pin of old Dowel holes,"12,983.22"
110,GESB02M7EA,MS7001EA,Option,Install vacuum brazed honeycomb to seal areas,"59,231.82"
111,GESB02M7EA,MS7001EA,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"53,860.70"
112,GESB02M7EA,MS7001EA,Option,Weld Plug Pin of old Dowel holes,"7,789.72"
113,GESB02M7EA,MS7001EA,Option,Replace Seal Fins,"20,772.60"
114,GESB03M7EA,MS7001EA,Option,Install vacuum brazed honeycomb to seal areas,"53,469.87"
115,GESB03M7EA,MS7001EA,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"35,907.14"
116,GESB03M7EA,MS7001EA,Option,Weld Plug Pin of old Dowel holes,"5,193.15"
117,GESB03M7EA,MS7001EA,Option,Replace Seal Fins,"13,848.40"
118,GETP00M7EA,MS7001EA,Additional,Replace Picture Frame Wear Strips,"8,489.95"
119,GETP00M7EA,MS7001EA,Additional,Replace H Blocks,"4,305.72"
120,GETP00M7EA,MS7001EA,Additional,Replace Std. Floating Seals-inner,"13,689.60"
121,GETP00M7EA,MS7001EA,Additional,Replace Std. Floating Seals-outer,"13,689.60"
122,GETP00M7EA,MS7001EA,Additional,Replace Aft Bracket Hardware (single Bolt only tractor type),"2,208.13"
123,GETP00M7EA,MS7001EA,Additional,Replace Picture Frame,"138,607.20"
124,GETP00M7EA,MS7001EA,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"161,742.62"
125,GETP00M7EA,MS7001EA,Option/Coating,Apply Class C TBC to internal surfaces (based on customer requirements or as received condition),"298,535.27"
126,GETP00M7EA,MS7001EA,Option/Coating,Apply Chrome Carbide coating to Inlet End,"13,673.86"
127,GETP00M7EA,MS7001EA,Option/Coating,Apply Chrome Carbide coating to H Blocks,"6,491.61"
128,GETP00M7EA,MS7001EA,Option,Replace L605 wear strips / covers to H blocks,"5,409.45"
129,GETP00M7EA,MS7001EA,Option/Coating,Apply Chrome Carbide coating to Seal tab,"5,418.69"
130,GETP00M7EA,MS7001EA,Option,"CLIP Upgrade, including supply and installation of all wear strips and coatings","84,897.08"
131,GEBH00M91E,MS9001E,Additional,Apply L605 shields to Forks,"2,532.58"
132,GEBH00M91E,MS9001E,Option/Coating,Apply Chrome Carbide coating to Forks,"13,313.14"
133,GECT00M91E,MS9001E,Additional,Replace Ends Tube,650.26
134,GECT00M91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Tube Ends (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","13,313.14"
135,GEFS00M91E,MS9001E,Additional,Replace Liner Stop (Carbon steel),"2,604.45"
136,GEFS00M91E,MS9001E,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,715.41"
137,GEFS00M91E,MS9001E,Option,Apply L605 shields to Liner Stops,"1,642.75"
138,GENA02M51P,MS5001P,Option/Coating,Apply Aluminide coating to gaspath surfaces (based on customer scope / or required based on base material type),"14,271.41"
139,GENA02M51P,MS5001P,Additional,Replace Core Plugs,"9,715.17"
140,GENA02M51P,MS5001P,Additional,Downstream Deflection rectification,"36,763.08"
141,GENA02M51P,MS5001P,Additional,Replace Aft Discourager Seal,"3,311.86"
142,GENA02M51P,MS5001P,Additional,Replace Dog Bone Seals,"85,667.12"
143,GENA02M51P,MS5001P,Additional,Replace Forward Discourager Seal,"3,311.86"
144,GEFN00M61B,MS6001B,Option,Replace Swirler Tip,"41,068.80"
145,GEFN00M61B,MS6001B,Option,Replace Locking Ring,"5,519.99"
146,GEFN00M61B,MS6001B,Option/Coating,Apply Chrome Carbide coating to Swirler Plate,"22,460.53"
147,GEFN00M61B,MS6001B,Option,Replace Transition Piece,"10,860.99"
148,GEFN00M61B,MS6001B,Option,Replace Water Cap Spring Seal,"1,676.98"
149,GEFN00M61B,MS6001B,Option,Replace Air Cap,"19,387.21"
150,GEFN00M61B,MS6001B,Option,Replace Water Cap,"8,975.59"
151,GEFN00M61B,MS6001B,Option,Replace Liquid Lance,"35,648.06"
152,GEFN00M61B,MS6001B,Option,Replace Side Plug Seal,331.29
153,GEFN00M61B,MS6001B,Option,Replace Liquid Lance Spring Seal,"1,757.40"
154,GEFN00M91E,MS9001E,Option,Replace Swirler Tip,"49,624.80"
155,GEFN00M91E,MS9001E,Option/Coating,Apply Chrome Carbide coating to Swirler Plate,"30,870.05"
156,GEFN00M91E,MS9001E,Option,Replace Transition Piece,"31,789.65"
157,GEFN00M91E,MS9001E,Option,Replace Air Ring,"15,014.41"
158,GEFN00M91E,MS9001E,Option,Replace Transition Piece Seal,"2,649.62"
159,GECL01M61B,MS6001B,Additional,Replace Hula Skirt,"8,576.88"
160,GECL01M61B,MS6001B,Additional,Replace Cross Fire Collars,883.32
161,GECL01M61B,MS6001B,Additional,Replace Liner Stop,"4,517.57"
162,GECL01M61B,MS6001B,Additional,Replace Primary Fuel Nozzle Floating Collar,"4,415.92"
163,GECL01M61B,MS6001B,Additional,Replace End Ring,"3,728.36"
164,GECL01M61B,MS6001B,Option/Coating,Apply Class B TBC to internal surfaces & Cl. C to the venturi (based on customer requirements or as received condition),"84,892.22"
165,GECL01M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Crossfire Collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","3,171.20"
166,GECL01M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Hula Skirt (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,707.88"
167,GECL01M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","4,439.54"
168,GECL01M61B,MS6001B,Option,Apply L605 shields to Liner Stops,"1,656.10"
169,GECL02M7EA,MS7001EA,Additional,Replace Hula Skirt,"8,576.88"
170,GECL02M7EA,MS7001EA,Additional,Replace Cross Fire Collars,"1,435.35"
171,GECL02M7EA,MS7001EA,Additional,Replace Liner Stop (material FSX414),"1,882.32"
172,GECL02M7EA,MS7001EA,Additional,Replace Primary Fuel Nozzle Floating Collar,"7,529.28"
173,GECL02M7EA,MS7001EA,Additional,Replace End Ring,"8,831.85"
174,GECL02M7EA,MS7001EA,Option/Coating,Apply Class B TBC to internal surfaces & Cl. C to the venturi (based on customer requirements or as received condition),"110,851.54"
175,GECL02M7EA,MS7001EA,Option/Coating,Apply Class C TBC to internal surfaces (based on customer requirements or as received condition),"196,412.90"
176,GECL02M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Crossfire collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","4,439.54"
177,GECL02M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Hula Skirt (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","8,079.94"
178,GECL02M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,593.57"
179,GECL02M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Floating Collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","18,646.26"
180,GECL02M7EA,MS7001EA,Option,Apply L605 shields to Liner Stops,"1,659.52"
181,GECL02M7EA,MS7001EA,Option,Braze repair Liner Cap,"3,245.46"
182,GEFS00M501,MS5001,Additional,Replace Liner Stop,"2,208.13"
183,GEFS00M501,MS5001,Additional,Replace Stopper Pin,220.74
184,GEFS00M501,MS5001,Option,Apply L605 shields to Liner Stops,"1,656.10"
185,GEFS00M501,MS5001,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,707.88"
190,GENZ02M7EA,MS7001EA,Additional,Replace Forward Discourager Seal,"4,143.50"
191,GENZ02M7EA,MS7001EA,Additional,Replace Aft Discourager Seal,"4,143.50"
192,GENZ02M7EA,MS7001EA,Additional,Replace Dog Bone Seals,"133,292.56"
193,GENZ02M7EA,MS7001EA,Additional,Replace Core Plugs,"13,601.30"
194,GENZ02M7EA,MS7001EA,Additional,Replace Brush Seals (OEM),"1,041,607.44"
195,GENZ02M7EA,MS7001EA,Option,Downstream Deflection rectification,"36,027.95"
196,GENZ02M7EA,MS7001EA,Option/Coating,Apply Aluminide coating to gaspath surfaces (based on customer scope / or required based on base material type),"14,298.10"
197,GENZ02M91E,MS9001E,Additional,Replace Forward Discourager Seal,"5,270.50"
198,GENZ02M91E,MS9001E,Additional,Replace Aft Discourager Seal,"5,270.50"
199,GENZ02M91E,MS9001E,Additional,Replace Dog Bone Seals,"188,266.22"
200,GENZ02M91E,MS9001E,Additional,Replace Core Plugs,"13,586.93"
201,GENZ02M91E,MS9001E,Additional,Replace Brush Seals (OEM),"1,095,168.00"
202,GENZ02M91E,MS9001E,Option,Downstream Deflection rectification,"51,472.90"
203,GENZ02M91E,MS9001E,Option/Coating,Apply Aluminide coating to gaspath surfaces (based on customer scope / or required based on base material type),"14,579.42"
204,GEBL02M91E,MS9001E,Option,Destructive Testing life time analysis,"154,008.00"
205,GEBL02M91E,MS9001E,Option,"Perform Hot isostatic Press for GTD111 / Inconel 738 (optional customer requirement, or through material analysis)","1,386,345.79"
206,GEBL02M91E,MS9001E,Option,Apply MCrAlY coating to external aerofoil surfaces,"223,208.93"
207,GEBL02M91E,MS9001E,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,579.42"
208,GEBL02M91E,MS9001E,Option,HF Clean and Transient Phase Restoration of aerofoil TMF crack,"92,747.04"
209,GEBL02M91E,MS9001E,Option,Perform Cutter Tooth modification,"10,000.25"
210,GEBL01M7EA,MS7001EA,Option,Destructive Testing life time analysis,"155,664.10"
212,GEBL01M7EA,MS7001EA,Option,"Perform Hot isostatic Press (optional Customer requirement, or through material analysis)","1,386,345.79"
213,GEBL01M7EA,MS7001EA,Option/Coating,Apply TBC coating to the airfoil gas path area and surface finish,"133,569.08"
214,GEBL01M7EA,MS7001EA,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,012.33"
215,GEBL01M7EA,MS7001EA,Option,HF Clean and Transient Phase Restoration of aerofoil TMF crack,"89,063.85"
216,GEBL02M7EA,MS7001EA,Option,Destructive Testing life time analysis,"150,799.50"
218,GEBL02M7EA,MS7001EA,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","1,386,345.79"
219,GEBL02M7EA,MS7001EA,Option,Apply MCrAlY coating to external aerofoil surfaces,"185,870.54"
220,GEBL02M7EA,MS7001EA,Option,Apply Aluminide coating to External Aerofoil,"14,298.10"
221,GEBL02M7EA,MS7001EA,Option,HF Clean and Transient Phase Restoration of aerofoil TMF crack,"90,881.49"
222,GEBL02M7EA,MS7001EA,Option,Perform Cutter Tooth modification,"3,786.54"
223,GEBL03M7EA,MS7001EA,Option,Destructive Testing life time analysis,"150,818.32"
224,GEBL03M7EA,MS7001EA,Option,"Perform Hot isostatic Press for Inconel 738 (optional customer requirement, or through material analysis)","1,386,345.79"
225,GEBL03M7EA,MS7001EA,Option/Coating,Apply MCrAlY coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"162,872.02"
226,GEBL03M7EA,MS7001EA,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,298.10"
227,GEBL03M7EA,MS7001EA,Option,Perform Cutter Tooth modification,"3,786.54"
228,GEBL01M51P,MS5001P,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,590.03"
230,GEBL01M51P,MS5001P,Option,HF Clean and Transient Phase Restoration of aerofoil TMF crack,"15,400.80"
231,GEBL01M51P,MS5001P,Option,"Perform Hot isostatic Press for Inconel 738 (optional Customer requirement, or through material analysis)","852,246.05"
232,GEBL01M51P,MS5001P,Option,Destructive Testing life time analysis,"155,664.10"
233,GEBL02M51P,MS5001P,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,271.41"
234,GEBL02M51P,MS5001P,Option,HF Clean and Transient Phase Restoration of aerofoil TMF crack,"15,400.80"
235,GEBL02M51P,MS5001P,Option,"Perform Hot isostatic Press for Inconel 738 (optional Customer requirement, or through material analysis)","852,246.05"
236,GEBL02M51P,MS5001P,Option,Destructive Testing life time analysis,"155,664.10"
237,SIBL01V942,V94.2,Option/Coating,MCrAlY with TBC overlay (Sicoat 3464 equivalent) -(1 type required for all repairs),"412,896.13"
238,SIBL01V942,V94.2,Option/Coating,MCrAlY (2231 equivalent)-(1 type required for all repairs),"114,816.04"
239,SIBL02V942,V94.2,Option/Coating,MCrAlY (2231 equivalent)-(1 type required for all repairs),"136,896.00"
240,SIBL02V942,V94.2,Option/Coating,MCrAlY with TBC overlay (Sicoat 3464 equivalent) -(1 type required for all repairs),"446,016.07"
241,SIBL03V942,V94.2,Option,Apply MCrAlY coating to to external gaspath areas using HVOF coating process. (SI 2231 equivalent),"226,323.31"
242,SINZ01V942,V94.2,Option/Coating,MCrAlY with TBC overlay (Sicoat 3464 equivalent) -(1 type required for all repairs),"391,919.90"
243,SINZ01V942,V94.2,Option/Coating,MCrAlY (2231 equivalent)-(1 type required for all repairs),"226,319.89"
244,SINZ02V942,V94.2,Option/Coating,MCrAlY (2231 equivalent)-(1 type required for all repairs),"226,319.89"
245,WSTTP00W251B2,W251B2,Option/Coating,Apply Full Thermal Barrier Coating ( TBC ) to internal surface,"202,606.08"
246,SINZ02V942,V94.2,Option/Coating,MCrAlY with TBC overlay (Sicoat 3464 equivalent) -(1 type required for all repairs),"391,919.90"
247,GEBL02M61B,MS6001B,Option,Destructive Testing life time analysis,"154,008.00"
248,GEBL02M61B,MS6001B,Option,"Perform Hot isostatic Press (optional Customer requirement, or through material analysis)","852,251.52"
249,GEBL02M61B,MS6001B,Option/Coating,Apply MCrAlY coating to the airfoil gas path area and surface finish (based on as received condition or customer requirements),"135,698.16"
250,GEBL02M61B,MS6001B,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,590.03"
251,GEBL02M61B,MS6001B,Option,HF Clean and Transient Phase Restoration of aerofoil TMF crack,"92,736.09"
252,GEBL02M61B,MS6001B,Option,Perform Cutter Tooth modification,"2,760.17"
253,GEBL01M61B,MS6001B,Option,Destructive Testing life time analysis,"154,008.00"
255,GEBL01M61B,MS6001B,Option,"Perform Hot isostatic Press (optional Customer requirement, or through material analysis)","852,251.52"
256,GEBL01M61B,MS6001B,Option/Coating,Apply TBC coating to the airfoil gas path area and surface finish,"136,998.67"
257,GEBL01M61B,MS6001B,Option/Coating,Apply Aluminide coating to External Aerofoil (based on as received condition or customer requirements),"14,590.38"
258,GEBL01M61B,MS6001B,Option,HF Clean and Transient Phase Restoration of aerofoil TMF crack,"92,736.09"
259,GENZ03M91E,MS9001E,Additional,Replace Forward Discourager Seal,"6,879.02"
260,GENZ03M91E,MS9001E,Additional,Replace Aft Discourager Seal,"6,879.02"
261,GENZ03M91E,MS9001E,Additional,Replace Dog Bone Seals,"128,956.03"
262,GENZ03M91E,MS9001E,Option,Downstream Deflection rectification,"57,188.30"
263,GENZ03M91E,MS9001E,Option/Coating,Apply Aluminide coating to gaspath surfaces (based on customer scope / or required based on base material type),"29,193.07"
264,GEBL01M91E,MS9001E,Option,Destructive Testing life time analysis,"154,008.00"
266,GEBL01M91E,MS9001E,Option,"Perform Hot isostatic Press (optional customer requirement, or through material analysis)","1,386,345.79"
267,GEBL01M91E,MS9001E,Option/Coating,Apply TBC coating to the airfoil gas path area and surface finish,"175,500.67"
269,GEBL01M91E,MS9001E,Option,HF Clean and Transient Phase Restoration of aerofoil TMF crack,"92,747.04"
270,GESB02M91E,MS9001E,Additional,Replace Seal Fins,"26,489.38"
271,GESB02M91E,MS9001E,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"61,716.14"
272,GESB02M91E,MS9001E,Option,Install vacuum brazed honeycomb to seal areas,"67,489.73"
273,GESB02M91E,MS9001E,Option,Weld Plug Pin of old Dowel holes,"15,914.16"
274,GESB03M91E,MS9001E,Additional,Replace Seal Fins,"17,659.58"
275,GESB03M91E,MS9001E,Option,Install vacuum brazed honeycomb to seal areas,"69,854.61"
276,GESB03M91E,MS9001E,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"72,934.77"
277,GESB03M91E,MS9001E,Option,Weld Plug Pin of old Dowel holes,"10,609.44"
278,GENZ02M61B,MS6001B,Additional,Replace Forward Discourager Seal,"3,311.86"
279,GENZ02M61B,MS6001B,Additional,Replace Aft Discourager Seal,"3,311.86"
280,GENZ02M61B,MS6001B,Additional,Replace Dog Bone Seals,"85,667.12"
281,GENZ02M61B,MS6001B,Additional,Replace Core Plugs,"9,715.17"
282,GENZ02M61B,MS6001B,Additional,Replace Brush Seals (OEM),"780,307.20"
283,GENZ02M61B,MS6001B,Option,Downstream Deflection rectification,"36,763.08"
